MSN,YYYY,MM,Value,Column_Order,Description,Unit
FFTCBUS,1987,10,5.527906,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,11,5.517998,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,12,6.352849,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1987,13,68.474361,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,1,6.820914,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,2,6.402514,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,3,6.351358,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,4,5.560392,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,5,5.466201,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,6,5.577641,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,7,5.763547,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,8,6.018489,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,9,5.415734,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,10,5.704981,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,11,5.829882,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,12,6.596231,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1988,13,71.507048,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,1,6.634584,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,2,6.352085,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,3,6.586898,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,4,5.772522,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,5,5.66289,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,6,5.687456,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,7,5.769796,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,8,5.927662,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,9,5.515428,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,10,5.818518,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,11,5.962743,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,12,7.175947,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1989,13,72.865725,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,1,6.71583,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,2,5.970118,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,3,6.25336,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,4,5.83131,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,5,5.766968,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,6,5.763212,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,7,5.961692,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,8,6.188925,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,9,5.650824,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,10,5.882538,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,11,5.832145,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,12,6.464655,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1990,13,72.280598,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,1,6.931248,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,2,5.892879,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,3,6.101053,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,4,5.602625,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,5,5.618474,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,6,5.612394,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,7,5.955334,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,8,5.978671,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,9,5.614724,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,10,5.883668,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,11,6.046869,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,12,6.586641,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1991,13,71.823417,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,1,6.835561,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,2,6.234612,4,Total Fossil Fuels Consumption,Quadrillion Btu
FFTCBUS,1992,3,6.381501,4,Total Fossil Fuels Consumption,Quadrillion Btu
